Process name,Category,Language,Custom code?,Complete?,Requires reimplementation?,Modular and testable?,Description,
Quality Control - Rainfall,Check Data,R,Yes,Y,N,Y,Adaptation of rclimdex_qc,
Homogenisation,Check Data,R,SNHT and changepoint,Soon,N,Soon,Tests of homogeneity,
Transform,Preparation,R,Yes,Y,N,Y,"Various transformations, e.g. moving averages",
Conversion,Preparation,R,Yes,Y,N,Y,"Various conversions, e.g. daylength",
Summary,Preparation,R,Yes,Y,N,Y,Summary to monthly or annual with options for missing values,
"Season Start, End and Length",Preparation,R,Yes,Y,N,Y,Annual summaries of precipitation for agricultural applications,
Spells,Preparation,R,Yes,Y,N,Y,Spell lengths for rainfall or temperatures,
Extremes,Preparation,R,Yes + extRemes,Soon,N,Soon,Flexible calculation of extremes,
Climdex,Preparation,R,Rclimdex_PCIC,Y,N,Y,WMO indices of extremes for rainfall (11) and temperatures (16),
SPEI,Preparation,R,SPEI,Y,N,Y,Standardised (Evapotranspiration) Precipitation Index,
Evapotranspiration,Preparation,R,evapotranspiration,Y,N,Y,Penman Monteith and Hargreaves as recommended by WMO ,
Summary,Comparison,R,hydroGOF and verification,Y,N,Y,Summaries to compare model or gridded data with station data,
Taylor,Comparison,R,openair,Y,N,Y,Compare model or gridded data with station data,
Condtional quantiles,Comparison,R,openair,Soon,N,Soon,Compare model or gridded data with station data,
Time Plots,Comparison,R,Yes + ggplot2,Soon,N,Soon,Compare model or gridded data with station data,
Seasonal Plots,Comparison,R,Yes + ggplot2,Soon,N,Soon,Compare model or gridded data with station data,
Summary,Circular,R,Yes + circular,Y,N,Y,Calculate circular summaries with options for missing values,
Wind Rose,Circular,R,clifro,Y,N,Y,Wind roses,
Wind Rose,Circular,R,openair,Soon,N,Soon,Wind roses,
Pollution Rose,Circular,R,openair,Soon,N,Soon,Pollution rose plot,
Circular Boxplots,Circular,R,ggplot2,Y,N,Y,Boxplots for circular data,
Rainfall Graph,PICSA,R,Yes + ggplot2,Y,N,Y,Special rainfall graphs for showing to intermediaries and farmers,
Exceedance Graph,PICSA,R,ggplot2,Y,N,Y,Probability and exceedance graphs mainly for annual summaries,
Temperature Graph,PICSA,R,Yes + ggplot2,Fairly soon,N,Fairly soon,Special temperature graphs for intermediaries and farmers ,
Crop Calculations,PICSA,R,Yes,Y,N,Y,Combined risks for different crops,
Correlation,Multivariate,R,GGally,Y,N,Y,Graphs and summaries of correlations,
Principal Components,Multivariate,R,factoextra,Y,N,Y,Principal Components analysis,
Canonical Correlations,Multivariate,R,stats (cancor),Y,N,Y,Canonical Correlations analysis,
Cluster Analysis,Multivariate,R,?,Fairly soon,N,Fairly soon,Cluster Analysis,
Distributions,Extremes,R,Mosaic + fitdistrplus,Soon,N,Soon,Modelling a single extreme value distribution,
Modelling,Extremes,R,extRemes,Soon,N,Soon,"Comprehensive modelling including trends, etc.",
Modelling low flow,Hydrology,R,lfstat,Fairly Soon,N,Fairly Soon,Low flow statistics following the R package,
Mapping,Spatial,R,Yes,Y,N,Y,Plot simple maps with station or other details as points,
Polygons,Spatial,R,?,Soon,N,Soon,"Locate station coordinates within specified polygons, e.g. counties",
Contour,Spatial,R,?,Soon,N,Soon,Plot data as contour plot,
Fit Model,Statistical Models,R,fitdistrplus,Y,N,Y,Estimation of parameters for a wide range of distributions,
Tests,Statistical Models,R,various,Y,N,Y,"Statistical tests  for single samples, e.g. trends, normality ",
Two-variable ,Statistical Models,R,various,soon,N,soon,"Statistical tests for 2-sample problems, e.g. t-tests, non-parametric tests",
Linear models,Statistical Models,R,stats (lm),Y,N,Y,linear models for normally distributed data (e.g. temperatures),
Generalized Linear Models,Statistical Models,R,stats (glm),Y,N,Y,generalised linear models (e.g. for rainfall occurrence),
Ordered Categorical Models,Statistical Models,R,VGAM(vglm),Soon,N,Soon,models for categorical data (e.g. for cloud cover),
Scatterplots,Graphics,R,ggplot2,Y,N,Y,Point plots with facets,
"Line plots, with fitted lines",Graphics,R,ggplot2,Y,N,Y,"Line plots, including time series plots",
Histograms,Graphics,R,ggplot2,Y,N,Y,Histograms including facets,
Density plots,Graphics,R,ggplot2,Y,N,Y,A modern alternative to histograms ,
Bar Charts,Graphics,R,ggplot2,Y,N,Y,Bar charts including facets,
Mosaic Plots,Graphics,R,ggplot2,Y,N,Y,An alternative to bar charts,
Parallel Coordinates Plots,Graphics,R,ggplot2,Y,N,Y,"Plots for multiple variables, possibly of different types",
Define Red Flag Variables,Procurement,R,Yes,Y,N,Y,Critical variables that indicate possible corruption,
Calculate Corruption Risk Index,Procurement,R,Yes,Y,N,Y,Combination of variables,
Map Country Values,Procurement,R,Yes,Y,N,Y,International comparisons,
